"id_player","ranked","player_name","player_position","age","team","games_played","games_started","minutes_played"
"carteje01","87","Jevon Carter","PG","28","Chicago Bulls","72","0","1004"
"cartewe01","88","Wendell Carter Jr.","C","24","Orlando Magic","55","48","1406"
"cartodj01","89","D.J. Carton","SG","23","Toronto Raptors","4","0","36"
"carusal01","90","Alex Caruso","SG","29","Chicago Bulls","71","57","2040"
"castlco01","91","Colin Castleton","C","23","Los Angeles Lakers","16","0","59"
"cazalma01","92","Malcolm Cazalon","SG","22","Detroit Pistons","1","0","3"
"champju02","93","Julian Champagnie","SF","22","San Antonio Spurs","74","59","1468"
"champju01","94","Justin Champagnie","SF","22","Washington Wizards","15","1","235"
"chrisma02","95","Max Christie","SG","20","Los Angeles Lakers","67","7","944"
"cissosi01","96","Sidy Cissoko","SF","19","San Antonio Spurs","12","0","141"
"clarkbr01","97","Brandon Clarke","PF","27","Memphis Grizzlies","6","1","134"
"clarkjo01","98","Jordan Clarkson","SG","31","Utah Jazz","55","19","1682"
"claxtni01","99","Nic Claxton","C","24","Brooklyn Nets","71","71","2116"
"clownno01","100","Noah Clowney","PF","19","Brooklyn Nets","23","4","370"
"coffeam01","101","Amir Coffey","SF","26","Los Angeles Clippers","70","13","1460"
"collijo01","102","John Collins","PF","26","Utah Jazz","68","66","1901"
"colliza01","103","Zach Collins","C","26","San Antonio Spurs","69","29","1526"
"conlemi01","104","Mike Conley","PG","36","Minnesota Timberwolves","76","76","2193"
"connapa01","105","Pat Connaughton","SF","31","Milwaukee Bucks","76","3","1676"
"coulibi01","106","Bilal Coulibaly","SF","19","Washington Wizards","63","15","1715"
"councri01","107","Ricky Council IV","SG","22","Philadelphia 76ers","32","0","289"
"covinro01","108","Robert Covington","PF","33","Los Angeles Clippers","3","3","69"
"covinro01","108","Robert Covington","SF","33","Philadelphia 76ers","26","3","419"
"craigto01","109","Torrey Craig","SF","33","Chicago Bulls","53","14","1049"
"crowdja01","110","Jae Crowder","PF","33","Milwaukee Bucks","50","25","1156"
"crutcja01","111","Jalen Crutcher","PG","24","New Orleans Pelicans","1","0","3"
"cunnica01","112","Cade Cunningham","PG","22","Detroit Pistons","62","62","2074"
"curryse01","113","Seth Curry","SG","33","Dallas Mavericks","36","3","457"
"curryse01","113","Seth Curry","SG","33","Charlotte Hornets","8","1","159"
"curryst01","114","Stephen Curry","PG","35","Golden State Warriors","74","74","2421"
"daniedy01","115","Dyson Daniels","PG","20","New Orleans Pelicans","61","16","1358"
"davisan02","116","Anthony Davis","C","30","Los Angeles Lakers","76","76","2700"
"davisjo06","117","Johnny Davis","SG","21","Washington Wizards","50","6","613"
"davisjd01","118","JD Davison","SG","21","Boston Celtics","8","0","39"
"dennide01","119","Dexter Dennis","SG","24","Dallas Mavericks","4","0","30"
"derozde01","120","DeMar DeRozan","SF","34","Chicago Bulls","79","79","2989"
"diabamo01","121","Moussa Diabate","C","22","Los Angeles Clippers","11","0","64"
"diakima01","122","Mamadi Diakite","PF","27","San Antonio Spurs","3","0","16"
"diakima01","122","Mamadi Diakite","PF","27","New York Knicks","3","0","8"
"diallha01","123","Hamidou Diallo","SG","25","Washington Wizards","2","0","5"
"dickgr01","124","Gradey Dick","SG","20","Toronto Raptors","60","17","1268"
"diengou01","125","Ousmane Dieng","PF","20","Oklahoma City Thunder","33","0","365"
"dinwisp01","126","Spencer Dinwiddie","PG","30","Brooklyn Nets","48","48","1474"
"dinwisp01","126","Spencer Dinwiddie","PG","30","Los Angeles Lakers","28","4","678"
"divindo01","127","Donte DiVincenzo","SG","27","New York Knicks","81","63","2360"
"doncilu01","128","Luka Doncic","PG","24","Dallas Mavericks","70","70","2624"
"dortlu01","129","Luguentz Dort","SF","24","Oklahoma City Thunder","79","79","2246"
"dosunay01","130","Ayo Dosunmu","SG","24","Chicago Bulls","76","37","2212"
"dowtije01","131","Jeff Dowtin","PG","26","Philadelphia 76ers","12","0","142"
"drellhe01","132","Henri Drell","SF","23","Chicago Bulls","4","0","30"
"drumman01","133","Andre Drummond","C","30","Chicago Bulls","79","10","1351"
"duartch01","134","Chris Duarte","SF","26","Sacramento Kings","59","11","719"
"dukeda01","135","David Duke Jr.","SG","24","San Antonio Spurs","4","0","51"
"dunnkr01","136","Kris Dunn","PG","29","Utah Jazz","66","32","1249"
"duranke01","137","Kevin Durant","PF","35","Phoenix Suns","75","75","2791"
"durenja01","138","Jalen Duren","C","20","Detroit Pistons","61","60","1777"
"easonta01","139","Tari Eason","PF","22","Houston Rockets","22","0","480"
"edwaran01","140","Anthony Edwards","SG","22","Minnesota Timberwolves","79","78","2770"
"edwarke02","141","Kessler Edwards","SF","23","Sacramento Kings","54","0","275"
"elliske01","142","Keon Ellis","SG","24","Sacramento Kings","57","21","978"
"embiijo01","143","Joel Embiid","C","29","Philadelphia 76ers","39","39","1309"
"eubandr01","144","Drew Eubanks","C","26","Phoenix Suns","75","6","1169"
"evbuoto01","145","Tosan Evbuomwan","SF","22","Memphis Grizzlies","4","0","74"
"evbuoto01","145","Tosan Evbuomwan","SF","22","Detroit Pistons","13","8","293"
"exumda01","146","Dante Exum","PG","28","Dallas Mavericks","55","17","1088"
"fernabr01","147","Bruno Fernando","C","25","Atlanta Hawks","45","2","682"
"finnedo01","148","Dorian Finney-Smith","PF","30","Brooklyn Nets","68","56","1934"
"flaglad01","149","Adam Flagler","SG","24","Oklahoma City Thunder","2","0","14"
"flynnma01","150","Malachi Flynn","PG","25","Toronto Raptors","31","0","474"
"flynnma01","150","Malachi Flynn","PG","25","New York Knicks","14","0","60"
"flynnma01","150","Malachi Flynn","PG","25","Detroit Pistons","24","0","342"
"fontesi01","151","Simone Fontecchio","SF","28","Utah Jazz","50","34","1160"
"fontesi01","151","Simone Fontecchio","SF","28","Detroit Pistons","16","9","484"
"fordjo01","152","Jordan Ford","PG","25","Sacramento Kings","6","0","22"
"forretr01","153","Trent Forrest","SG","25","Atlanta Hawks","38","0","414"
"fournev01","154","Evan Fournier","SG","31","New York Knicks","3","0","39"
"fournev01","154","Evan Fournier","SG","31","Detroit Pistons","29","0","541"
"foxde01","155","DeAaron Fox","PG","26","Sacramento Kings","74","74","2659"
"freemja01","156","Javon Freeman-Liberty","PG","24","Toronto Raptors","22","6","403"
"fudgeal01","157","Alex Fudge","SF","20","Los Angeles Lakers","4","0","14"
"fudgeal01","157","Alex Fudge","SF","20","Dallas Mavericks","2","0","26"
"fultzma01","158","Markelle Fultz","PG","25","Orlando Magic","43","18","910"
"funkan01","159","Andrew Funk","SG","24","Chicago Bulls","5","0","13"
"gabriwe01","160","Wenyen Gabriel","PF","26","Memphis Grizzlies","5","0","81"
"gaffoda01","161","Daniel Gafford","C","25","Washington Wizards","45","45","1192"
"gaffoda01","161","Daniel Gafford","PF","25","Dallas Mavericks","29","21","623"
"gallida01","162","Danilo Gallinari","PF","35","Washington Wizards","26","0","385"
"gallida01","162","Danilo Gallinari","SF","35","Detroit Pistons","6","0","90"
"gallida01","162","Danilo Gallinari","SF","35","Milwaukee Bucks","17","0","155"
"garlada01","163","Darius Garland","PG","24","Cleveland Cavaliers","57","57","1901"
"garubus01","164","Usman Garuba","PF","21","Golden State Warriors","6","0","18"
