"id_player","ranked","player_name","player_position","age","team","field_goal","field_goal_attempts","three_points","three_points_attempts","two_points","two_points_attempts","free_throws","free_throws_attempts","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points"
"seabrde01","454","Dereon Seabron","SG","23","New Orleans Pelicans","4","13","1","2","3","11","5","6","1","6","7","5","2","1","0","4","14"
"sengual01","455","Alperen Sengun","C","21","Houston Rockets","527","982","33","111","494","871","244","352","183","406","589","312","76","46","162","211","1331"
"sensabr01","456","Brice Sensabaugh","SF","20","Utah Jazz","85","218","34","115","51","103","37","41","16","86","102","55","13","6","47","43","241"
"sextoco01","457","Collin Sexton","SG","25","Utah Jazz","506","1038","128","325","378","713","318","370","71","134","205","383","62","18","165","154","1458"
"shamela01","458","Landry Shamet","SG","26","Washington Wizards","118","274","53","157","65","117","38","46","16","46","62","54","25","10","30","76","327"
"sharpda01","459","DayRon Sharpe","C","22","Brooklyn Nets","168","294","4","15","164","279","75","123","161","228","389","85","24","44","70","131","415"
"sharpsh01","460","Shaedon Sharpe","SG","20","Portland Trail Blazers","176","434","60","180","116","254","98","119","42","118","160","94","28","12","72","88","510"
"sheppbe01","461","Ben Sheppard","SG","22","Indiana Pacers","90","229","49","156","41","73","23","26","15","74","89","53","33","2","15","88","252"
"siakapa01","462","Pascal Siakam","PF","29","Toronto Raptors","325","623","46","145","279","478","169","223","54","192","246","190","32","10","83","87","865"
"siakapa01","462","Pascal Siakam","PF","29","Indiana Pacers","356","648","39","101","317","547","121","173","85","234","319","152","31","15","58","106","872"
"simmobe01","463","Ben Simmons","PG","27","Brooklyn Nets","43","74","0","0","43","74","6","15","31","88","119","86","12","9","27","36","92"
"simmoko01","464","Kobi Simmons","PG","26","Toronto Raptors","9","21","2","8","7","13","0","0","1","6","7","12","6","2","1","5","20"
"simonan01","465","Anfernee Simons","SG","24","Portland Trail Blazers","360","837","156","405","204","432","163","178","22","145","167","255","23","5","126","98","1039"
"simpsza01","466","Zavier Simpson","PG","26","Memphis Grizzlies","17","54","5","17","12","37","3","4","4","16","20","25","7","3","10","11","42"
"simsje01","467","Jericho Sims","C","25","New York Knicks","38","55","0","0","38","55","16","24","56","91","147","25","8","19","16","45","92"
"skapidm01","468","Dmytro Skapintsev","C","25","New York Knicks","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"slawsja01","469","Jalen Slawson","SF","24","Sacramento Kings","4","6","0","2","4","4","0","0","1","6","7","2","1","1","2","8","8"
"smartja01","470","Javonte Smart","PG","24","Philadelphia 76ers","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"smartma01","471","Marcus Smart","PG","29","Memphis Grizzlies","102","237","42","134","60","103","43","56","6","47","53","86","41","5","62","53","289"
"smithde03","472","Dennis Smith Jr.","PG","26","Brooklyn Nets","147","338","32","109","115","229","43","58","50","114","164","203","68","12","68","121","369"
"smithdr01","473","Dru Smith","SG","26","Miami Heat","15","33","7","17","8","16","2","2","6","8","14","14","9","3","5","12","39"
"smithis01","474","Ish Smith","PG","35","Charlotte Hornets","66","158","4","8","62","150","3","4","11","65","76","145","17","4","47","49","139"
"smithja05","475","Jabari Smith Jr.","PF","20","Houston Rockets","378","833","138","380","240","453","150","185","139","477","616","121","52","61","89","200","1044"
"smithja04","476","Jalen Smith","C","23","Indiana Pacers","234","395","61","144","173","251","72","104","112","225","337","63","17","38","44","124","601"
"smithni01","477","Nick Smith Jr.","SG","19","Charlotte Hornets","113","289","63","146","50","143","13","15","18","54","72","59","10","7","39","55","302"
"smithte01","478","Terquavion Smith","PG","21","Philadelphia 76ers","18","46","13","35","5","11","3","5","0","4","4","12","8","0","7","8","52"
"sochaje01","479","Jeremy Sochan","PF","20","San Antonio Spurs","340","776","70","227","270","549","111","144","137","339","476","249","62","40","140","168","861"
"spencpa01","480","Pat Spencer","PG","27","Golden State Warriors","2","4","0","2","2","2","0","0","2","2","4","5","0","0","1","1","4"
"sprinja01","481","Jaden Springer","SG","21","Philadelphia 76ers","46","118","8","37","38","81","28","34","25","33","58","35","25","11","26","49","128"
"sprinja01","481","Jaden Springer","PG","21","Boston Celtics","13","30","2","11","11","19","7","8","8","12","20","9","11","4","8","17","35"
"stevela01","482","Lamar Stevens","PF","26","Boston Celtics","21","45","3","8","18","37","8","11","12","19","31","8","6","5","9","14","53"
"stevela01","482","Lamar Stevens","PF","26","Memphis Grizzlies","87","195","11","38","76","157","34","43","24","72","96","20","17","17","15","31","219"
"stewais01","483","Isaiah Stewart","PF","22","Detroit Pistons","186","382","67","175","119","207","64","85","74","231","305","73","17","38","66","99","503"
"strawju01","484","Julian Strawther","SF","21","Denver Nuggets","82","222","41","138","41","84","22","31","5","56","61","47","17","7","23","54","227"
"strusma01","485","Max Strus","SF","27","Cleveland Cavaliers","304","728","168","479","136","249","77","97","66","272","338","283","64","29","112","170","853"
"suggsja01","486","Jalen Suggs","SG","22","Orlando Magic","336","714","153","385","183","329","118","156","48","181","229","205","106","47","132","205","943"
"swideco01","487","Cole Swider","SF","24","Miami Heat","15","38","10","30","5","8","2","2","1","6","7","5","1","1","8","4","42"
"tateja01","488","JaeSean Tate","SF","28","Houston Rockets","108","229","23","77","85","152","26","39","61","136","197","64","42","15","37","137","265"
"tatumja01","489","Jayson Tatum","PF","25","Boston Celtics","672","1426","229","609","443","817","414","497","67","534","601","364","75","43","188","145","1987"
"taylote01","490","Terry Taylor","PF","24","Chicago Bulls","20","39","2","9","18","30","4","5","17","20","37","10","5","2","7","17","46"
"templga01","491","Garrett Temple","SG","37","Toronto Raptors","29","78","12","40","17","38","18","22","18","27","45","28","12","3","14","28","88"
"terryda01","492","Dalen Terry","SG","21","Chicago Bulls","69","157","17","74","52","83","25","43","29","84","113","81","27","18","32","81","180"
"theisda01","493","Daniel Theis","C","31","Indiana Pacers","1","4","0","1","1","3","0","0","0","0","0","0","0","0","0","1","2"
"theisda01","493","Daniel Theis","C","31","Los Angeles Clippers","155","289","26","70","129","219","38","50","85","159","244","61","21","51","42","126","374"
"thomaca02","494","Cam Thomas","SG","22","Brooklyn Nets","526","1190","144","396","382","794","286","334","28","186","214","192","45","16","124","138","1482"
"thomais02","495","Isaiah Thomas","PG","34","Phoenix Suns","3","10","2","4","1","6","0","0","0","0","0","3","0","0","0","0","8"
"thompam01","496","Amen Thompson","SF","21","Houston Rockets","239","446","8","58","231","388","106","155","148","261","409","163","78","38","90","141","592"
"thompau01","497","Ausar Thompson","SF","21","Detroit Pistons","232","480","21","113","211","367","71","119","129","273","402","120","68","59","84","175","556"
"thompkl01","498","Klay Thompson","SF","33","Golden State Warriors","490","1133","268","692","222","441","127","137","35","219","254","176","50","35","117","127","1375"
"thomptr01","499","Tristan Thompson","C","32","Cleveland Cavaliers","73","120","0","1","73","119","15","52","73","101","174","51","12","14","29","59","161"
"thorjt01","500","JT Thor","PF","21","Charlotte Hornets","80","183","28","81","52","102","11","20","43","103","146","29","11","27","15","60","199"
"thybuma01","501","Matisse Thybulle","SF","26","Portland Trail Blazers","126","317","80","231","46","86","22","29","30","106","136","90","113","49","40","93","354"
"tillmxa01","502","Xavier Tillman Sr.","C","25","Memphis Grizzlies","87","213","12","53","75","160","18","43","56","101","157","57","42","35","29","60","204"
"tillmxa01","502","Xavier Tillman Sr.","PF","25","Boston Celtics","34","66","8","28","26","38","4","7","14","40","54","20","9","9","5","15","80"
"toppija01","503","Jacob Toppin","SF","23","New York Knicks","5","9","1","4","4","5","2","2","3","4","7","3","0","1","1","3","13"
"toppiob01","504","Obi Toppin","PF","25","Indiana Pacers","332","579","102","253","230","326","77","100","85","235","320","128","47","43","69","143","843"
"toscaju01","505","Juan Toscano-Anderson","SF","30","Sacramento Kings","3","12","1","4","2","8","0","0","4","10","14","4","1","1","2","11","7"
"townska01","506","Karl-Anthony Towns","PF","28","Minnesota Timberwolves","479","951","136","327","343","624","255","292","94","421","515","189","43","41","177","204","1349"
"trentga02","507","Gary Trent Jr.","SG","25","Toronto Raptors","361","847","178","453","183","394","74","96","25","163","188","119","77","10","47","96","974"
"tshieos01","508","Oscar Tshiebwe","PF","24","Indiana Pacers","10","20","0","0","10","20","6","8","8","8","16","2","2","1","0","3","26"
"tuckepj01","509","P.J. Tucker","PF","38","Philadelphia 76ers","2","5","2","5","0","0","0","0","1","13","14","0","3","2","2","9","6"
"tuckepj01","509","P.J. Tucker","PF","38","Los Angeles Clippers","16","45","11","30","5","15","3","3","27","44","71","16","13","5","6","45","46"
"turnemy01","510","Myles Turner","C","27","Indiana Pacers","476","909","116","324","360","585","245","317","113","420","533","100","39","144","109","232","1313"
"tysonhu01","511","Hunter Tyson","PF","23","Denver Nuggets","8","20","4","14","4","6","0","0","1","8","9","2","1","0","2","10","20"
"umudest01","512","Stanley Umude","SG","24","Detroit Pistons","37","84","24","53","13","31","29","32","8","43","51","11","8","7","14","40","127"
"valanjo01","513","Jonas Valanciunas","C","31","New Orleans Pelicans","402","719","37","120","365","599","161","205","186","535","721","173","32","68","111","218","1002"
"vandeja01","514","Jarred Vanderbilt","PF","24","Los Angeles Lakers","59","114","8","27","51","87","24","36","41","97","138","36","36","5","28","43","150"
"vanvlfr01","515","Fred VanVleet","PG","29","Houston Rockets","423","1018","227","586","196","432","197","229","33","245","278","589","101","59","126","183","1270"
"vassede01","516","Devin Vassell","SG","23","San Antonio Spurs","498","1056","166","446","332","610","161","201","27","234","261","277","73","23","108","74","1323"
"vezenal01","517","Sasha Vezenkov","PF","28","Sacramento Kings","84","191","45","120","39","71","12","15","30","66","96","19","20","7","12","42","225"
"vincega01","518","Gabe Vincent","PG","27","Los Angeles Lakers","15","49","3","28","12","21","1","2","4","5","9","21","9","0","5","19","34"
"vucevni01","519","Nikola Vucevic","C","33","Chicago Bulls","586","1211","92","313","494","898","106","129","210","591","801","254","50","60","120","190","1370"
"vukcetr01","520","Tristan Vukcevic","C","20","Washington Wizards","29","67","10","36","19","31","17","22","6","30","36","13","5","7","10","28","85"
"wadede01","521","Dean Wade","PF","27","Cleveland Cavaliers","96","232","79","202","17","30","20","26","37","181","218","43","40","25","20","93","291"
"wagnefr01","522","Franz Wagner","SF","22","Orlando Magic","528","1096","94","334","434","762","271","319","72","309","381","269","76","28","137","168","1421"
"wagnemo01","523","Moritz Wagner","C","26","Orlando Magic","332","552","38","115","294","437","166","204","117","230","347","96","39","21","97","160","868"
"wainris01","524","Ish Wainright","SF","29","Portland Trail Blazers","6","18","6","16","0","2","2","2","0","9","9","0","2","1","1","4","20"
